Txn_Date,Customer_Id,Product_Id,Quantity,Total_Sales
07-03-2021,6279,4,0,80.0
05-03-2021,1234,8,0,100.0
19-02-2021,1698,3,0,30.0
13-03-2021,400,7,0,60.0
13-02-2021,2270,1,2,0.0
27-02-2021,7940,4,2,0.0
02-03-2021,9235,10,1,0.0
30-01-2021,3382,9,2,0.0
12-03-2021,4124,5,1,0.0
02-01-2021,2103,1,2,20.0
04-03-2021,3965,5,1,10.0
13-03-2021,9459,3,2,60.0
21-01-2021,8486,6,1,50.0
01-03-2021,5523,10,1,25.0
16-02-2021,7154,2,2,40.0
04-02-2021,9519,3,1,30.0
07-01-2021,6424,3,1,30.0
23-01-2021,5585,10,1,25.0
10-03-2021,17,8,1,100.0
02-01-2021,2103,1,2,20.0
04-03-2021,3965,5,1,10.0
13-03-2021,9459,3,2,60.0
21-01-2021,8486,6,1,50.0
01-03-2021,5523,10,1,25.0
16-02-2021,7154,2,2,40.0
04-02-2021,9519,3,1,30.0
07-01-2021,6424,3,1,30.0
23-01-2021,5585,10,1,25.0
10-03-2021,17,8,1,100.0
04-03-2021,3923,4,1,40.0
15-01-2021,7616,8,1,100.0
16-01-2021,3984,6,1,50.0
07-02-2021,9797,2,1,20.0
20-02-2021,8752,3,2,60.0
05-01-2021,9576,10,1,25.0
04-01-2021,1746,9,1,10.0
11-03-2021,3393,1,1,10.0
26-01-2021,846,7,1,60.0
16-01-2021,6919,6,2,100.0
04-02-2021,5529,10,1,25.0
19-02-2021,3510,9,2,20.0
09-02-2021,6630,5,1,10.0
15-03-2021,5669,1,1,10.0
08-01-2021,223,6,1,50.0
23-02-2021,2370,8,2,200.0
13-02-2021,9727,10,2,50.0
28-01-2021,7596,9,1,10.0
06-02-2021,2834,11,1,25.0
13-02-2021,7938,5,2,20.0
18-01-2021,2366,5,2,20.0
08-01-2021,9605,1,2,20.0
20-02-2021,2657,4,1,40.0
05-03-2021,7707,10,1,25.0
12-03-2021,5569,5,1,10.0
