Txn_Date,Customer_Id,Product_Id,Quantity,Total_Sales
15-07-2020,9639,8,2,200.0
02-05-2020,5037,11,2,50.0
05-10-2020,3385,4,1,40.0
31-03-2020,7651,4,1,40.0
04-06-2020,8510,7,1,60.0
10-10-2020,7303,7,2,120.0
06-06-2020,8067,9,1,10.0
05-12-2020,9962,7,1,60.0
20-12-2020,6906,8,1,100.0
21-04-2020,9502,11,1,25.0
17-09-2020,5470,1,2,20.0
31-08-2020,8680,6,2,100.0
08-09-2020,3654,2,1,20.0
31-07-2020,1898,4,1,40.0
12-09-2020,8821,10,2,50.0
23-02-2020,5128,7,1,60.0
21-05-2020,4584,3,1,30.0
18-12-2020,821,7,2,120.0
05-04-2020,9448,1,1,10.0
24-11-2020,8186,1,1,10.0
02-05-2020,6920,1,1,10.0
14-04-2020,1658,8,1,100.0
07-03-2020,1188,8,2,200.0
06-08-2020,2933,1,2,20.0
06-07-2020,4961,3,2,60.0
18-10-2020,4397,4,1,40.0
23-08-2020,8591,2,2,40.0
21-10-2020,4326,7,2,120.0
02-06-2020,2052,4,1,40.0
06-11-2020,6691,10,2,50.0
26-06-2020,3909,5,2,20.0
30-08-2020,919,2,2,40.0
11-12-2020,3845,10,1,25.0
20-09-2020,9479,2,1,20.0
23-10-2020,7876,2,1,20.0
10-01-2020,3619,3,2,60.0
24-10-2020,7843,1,1,10.0
26-02-2020,133,6,1,50.0
28-05-2020,9275,4,2,80.0
08-07-2020,4484,8,2,200.0
08-02-2020,4245,5,1,10.0
05-02-2020,8154,1,1,10.0
16-06-2020,8296,11,1,25.0
25-01-2020,560,7,1,60.0
22-04-2020,3065,3,2,60.0
11-02-2020,8396,3,2,60.0
10-02-2020,8681,9,2,20.0
02-05-2020,7751,1,2,20.0
26-06-2020,2556,1,1,10.0
30-12-2020,6842,6,2,100.0
25-04-2020,3663,9,1,10.0
15-08-2020,9740,6,2,100.0
18-12-2020,3906,9,1,10.0
30-01-2020,3908,9,1,10.0
11-07-2020,684,2,2,40.0
18-09-2020,6935,9,1,10.0
16-02-2020,7240,1,2,20.0
16-09-2020,291,11,2,50.0
08-09-2020,9916,4,2,80.0
21-02-2020,468,3,2,60.0
23-09-2020,3897,1,2,20.0
